/begin_header
/start_date=1930-01-01
/end_date=2017-03-15
/north_latitude=90[deg]
/south_latitude=-90[deg]
/east_longitude=180[deg]
/west_longitude=-180[deg]
! Date processed: 2017-03-15 20:28:37 GMT
! Date archived: 1998-01-01 to 2010-12-31
! Water depth: 30 to 10000
! Data source: seabass
! Exclusions:
!                                                             , SeaWiFS             
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  70 
!  Maximum satellite zenith angle                             ,                  56 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                 100 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2017-02-24 23:25:50 
! Statistics:
!  Product Name , SeaWiFS Range       , In situ Range       , #    , Best Fit Slope , Best Fit Intercept , R2      , Median Ratio , Median % Difference , RMSE    
!  chlor_a      , 0.028178 - 21.02202 , 0.028178 - 21.02202 , 1281 ,        0.88038 ,           -0.03272 , 0.79839 ,      1.02908 ,            33.97579 , 0.26660 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,seawifs_filename,seawifs_es_error,seawifs_pixel_total,seawifs_tdiff,seawifs_solz,seawifs_senz,seawifs_cv,seawifs_windspeed,seawifs_chlor_a,insitu_chlor_a_type,insitu_chlor_a
/end_header
216531,-64.69995000,-65.01198000,1999-01-19 11:25:00,palmer_lter,S1999019134352.L2_MLAC.R0000021212_64S_64S_66W_65W.hdf_OCVAL_palmer_lter_216531_B5.tar,0.00000000,25,10286,49.59,46.16,0.074,6.829,0.43433400,chlor_a,1.90699995
216469,-64.51833000,-65.51050000,1998-01-30 13:10:00,palmer_lter,S1998030145835.L2_MLAC.R0000021212_64S_64S_65W_65W.hdf_OCVAL_palmer_lter_216469_B5.tar,0.00000000,25,8462,48.17,25.98,0.061,1.869,0.21988300,chlor_a,0.47900000
216472,-64.15000000,-66.40483000,1998-01-31 12:41:00,palmer_lter,S1998031140424.L2_MLAC.R0000021212_64S_64S_66W_66W.hdf_OCVAL_palmer_lter_216472_B5.tar,0.00000000,25,6988,51.16,41.27,0.029,8.955,0.18433200,chlor_a,0.31900001
21716,-64.08500000,-66.55400000,1998-01-31 13:19:00,palmer_lter,S1998031140424.L2_MLAC.R0000021212_64S_64S_66W_66W.hdf_OCVAL_palmer_lter_21716_B5.tar,0.00000000,25,4707,51.16,41.72,0.018,8.842,0.15740200,chlor_a,0.26497701
22668,-64.08500000,-66.55400000,1998-01-31 13:19:00,palmer_lter,S1998031140424.L2_MLAC.R0000021212_64S_64S_66W_66W.hdf_OCVAL_palmer_lter_22668_B5.tar,41.55000000,25,4707,51.16,41.72,0.018,8.842,-999,rrs,-999
21717,-63.96500000,-66.86500000,1998-01-31 18:28:00,palmer_lter,S1998031154323.L2_MLAC.R0000021212_63S_64S_66W_66W.hdf_OCVAL_palmer_lter_21717_B5.tar,0.00000000,25,-7950,46.86,47.59,0.021,9.433,0.13150400,chlor_a,0.31065899
22669,-63.96500000,-66.86500000,1998-01-31 18:28:00,palmer_lter,S1998031154323.L2_MLAC.R0000021212_63S_64S_66W_66W.hdf_OCVAL_palmer_lter_22669_B5.tar,3.60000000,25,-7950,46.86,47.59,0.021,9.433,-999,rrs,-999
211319,-63.25240000,-60.00880000,2007-01-13 14:14:00,amlr2007,S2007013163654.L2_LAC.R0000020341_63S_63S_60W_60W.hdf_OCVAL_amlr2007_211319_B5.tar,60.40000000,25,8580,42.06,48.51,0.067,7.801,-999,rrs,-999
211426,-63.25235000,-60.00877000,2007-01-13 14:06:00,amlr2007,S2007013163654.L2_LAC.R0000020341_63S_63S_60W_60W.hdf_OCVAL_amlr2007_211426_B5.tar,0.00000000,25,9060,42.06,48.51,0.067,7.801,0.45928400,chlor_a,1.17400002
211416,-63.03129000,-60.38970000,2004-03-12 15:02:00,amlr2004_leg2,S2004072145655.L2_MLAC.R0000020339_63S_63S_61W_60W.hdf_OCVAL_amlr2004_leg2_211416_B5.tar,0.00000000,25,1969,60.39,29.74,0.036,17.032,0.20855400,chlor_a,0.10200000
211206,-62.64050000,-59.43060000,2004-03-14 18:00:00,lmg0402,S2004074143938.L2_MLAC.R0000021059_62S_62S_59W_58W.hdf_OCVAL_lmg0402_211206_B5.tar,0.00000000,25,-9736,61.09,22.83,0.075,11.992,0.22189100,chlor_a,0.87099999
211330,-62.44342000,-61.64365000,2004-01-17 16:32:00,amlr2004_leg1,S2004017152637.L2_MLAC.R0000020338_62S_62S_61W_61W.hdf_OCVAL_amlr2004_leg1_211330_B5.tar,0.00000000,25,-1955,41.77,42.55,0.098,9.046,0.39937000,chlor_a,0.94300002
13231,-62.06100000,-56.32100000,2004-01-28 14:45:00,swao_95-04,S2004028144134.L2_MLAC.R0000021537_61S_62S_56W_56W.hdf_OCVAL_swao_95-04_13231_B5.tar,0.00000000,25,1807,44.44,27.14,0.029,9.724,0.25379900,chlor_a,0.57900000
12988,-62.06000000,-56.27900000,2004-01-28 12:45:00,swao_95-04,S2004028144134.L2_MLAC.R0000021537_61S_62S_56W_56W.hdf_OCVAL_swao_95-04_12988_B5.tar,17.80000000,25,9007,44.43,27.20,0.033,9.744,-999,rrs,-999
3973,-61.99700000,-59.99000000,1998-01-10 14:50:00,amlr1998,S1998010145252.L2_MLAC.R0000020333_61S_61S_60W_59W.hdf_OCVAL_amlr1998_3973_B5.tar,0.00000000,25,1999,40.79,30.78,0.018,13.135,0.27177600,chlor_a,0.51099998
216456,-61.66050000,-62.93167000,1998-01-15 16:29:00,palmer_lter,S1998015134007.L2_MLAC.R0000021212_61S_61S_63W_62W.hdf_OCVAL_palmer_lter_216456_B5.tar,0.00000000,25,-8238,46.30,53.07,0.017,7.436,0.09947500,chlor_a,0.03500000
17359,-61.59900000,-62.59800000,2000-02-22 13:30:00,amlr2000,S2000053135537.L2_MLAC.R0000020335_61S_61S_62W_62W.hdf_OCVAL_amlr2000_17359_B5.tar,0.00000000,25,3593,55.34,41.66,0.065,2.505,0.07897900,chlor_a,0.28299999
4406,-61.59900000,-62.59800000,2000-02-22 13:30:00,amlr2000,S2000053135537.L2_MLAC.R0000020335_61S_61S_62W_62W.hdf_OCVAL_amlr2000_4406_B5.tar,21.90000000,25,3593,55.34,41.66,0.065,2.505,-999,rrs,-999
17362,-61.50286000,-62.00967000,2000-02-23 18:00:00,amlr2000,S2000054143936.L2_MLAC.R0000020335_61S_62S_62W_61W.hdf_OCVAL_amlr2000_17362_B5.tar,0.00000000,25,-9992,53.07,22.79,0.013,0.770,0.07199300,chlor_a,0.09300000
4408,-61.50000000,-62.00000000,2000-02-23 14:25:00,amlr2000,S2000054143936.L2_MLAC.R0000020335_61S_62S_62W_61W.hdf_OCVAL_amlr2000_4408_B5.tar,22.60000000,25,2907,53.06,22.79,0.013,0.765,-999,rrs,-999
4573,-61.49933000,-56.49360000,2001-02-19 16:11:00,amlr2001,S2001050135427.L2_MLAC.R0000020336_60S_61S_56W_56W.hdf_OCVAL_amlr2001_4573_B5.tar,0.00000000,25,-6046,52.96,27.21,0.070,3.470,0.26628500,chlor_a,0.57400000
4065,-61.49800000,-57.99500000,1998-02-08 17:04:00,amlr1998,S1998039150552.L2_MLAC.R0000020333_61S_61S_58W_57W.hdf_OCVAL_amlr1998_4065_B5.tar,0.00000000,25,-5161,46.85,44.83,0.040,6.199,0.29623400,chlor_a,0.92799997
216455,-61.38467000,-63.13600000,1998-01-15 14:30:00,palmer_lter,S1998015134007.L2_MLAC.R0000021212_61S_61S_63W_62W.hdf_OCVAL_palmer_lter_216455_B5.tar,0.00000000,25,-1101,46.17,53.95,0.027,7.495,0.09658300,chlor_a,0.05100000
4444,-61.29000000,-56.29000000,2001-02-19 16:10:00,amlr2001,S2001050135427.L2_MLAC.R0000020336_60S_61S_56W_56W.hdf_OCVAL_amlr2001_4444_B5.tar,2.10000000,25,-5990,52.73,27.15,0.062,3.656,-999,rrs,-999
211300,-61.28580000,-53.90530000,2004-03-01 17:05:00,amlr2004_leg2,S2004061140355.L2_MLAC.R0000020339_61S_61S_53W_53W.hdf_OCVAL_amlr2004_leg2_211300_B5.tar,26.05000000,25,-8672,55.42,25.10,0.127,5.704,-999,rrs,-999
211400,-61.28580000,-53.90528000,2004-03-01 16:52:00,amlr2004_leg2,S2004061140355.L2_MLAC.R0000020339_61S_61S_53W_53W.hdf_OCVAL_amlr2004_leg2_211400_B5.tar,0.00000000,25,-7892,55.42,25.10,0.127,5.704,0.19627800,chlor_a,0.80100000
4699,-61.25000000,-56.49400000,2002-01-22 16:33:00,amlr2002,S2002022133012.L2_MLAC.R0000020337_60S_61S_56W_56W.hdf_OCVAL_amlr2002_4699_B5.tar,99.65000000,25,-8946,46.13,45.14,0.041,7.612,-999,rrs,-999
17507,-61.24950000,-56.49420000,2002-01-22 16:31:00,amlr2002,S2002022133012.L2_MLAC.R0000020337_60S_61S_56W_56W.hdf_OCVAL_amlr2002_17507_B5.tar,0.00000000,25,-8826,46.13,45.14,0.041,7.612,0.34454500,chlor_a,1.06400001
4064,-61.24800000,-58.49800000,1998-02-08 13:27:00,amlr1998,S1998039150552.L2_MLAC.R0000020333_61S_61S_58W_57W.hdf_OCVAL_amlr1998_4064_B5.tar,0.00000000,25,7856,46.65,43.43,0.094,6.943,0.19056300,chlor_a,0.94700003
9076,-61.02800000,-56.53100000,2002-01-22 15:46:00,amlr2002,S2002022150900.L2_MLAC.R0000020337_60S_61S_56W_56W.hdf_OCVAL_amlr2002_9076_B5.tar,0.00000000,25,-254,41.51,50.48,0.084,7.113,-999,aot,-999
4698,-60.99900000,-56.49800000,2002-01-22 13:45:00,amlr2002,S2002022133012.L2_MLAC.R0000020337_60S_61S_56W_56W.hdf_OCVAL_amlr2002_4698_B5.tar,2.30000000,25,1131,45.94,45.79,0.122,7.330,-999,rrs,-999
17506,-60.99845000,-56.49782000,2002-01-22 13:49:00,amlr2002,S2002022133012.L2_MLAC.R0000020337_60S_61S_56W_56W.hdf_OCVAL_amlr2002_17506_B5.tar,0.00000000,25,891,45.94,45.79,0.122,7.330,0.24401700,chlor_a,0.61400002
211333,-60.99835000,-57.51617000,2004-01-21 14:58:00,amlr2004_leg1,S2004021145219.L2_MLAC.R0000020338_60S_60S_57W_57W.hdf_OCVAL_amlr2004_leg1_211333_B5.tar,0.00000000,25,1624,41.54,29.09,0.045,3.521,0.19345300,chlor_a,0.83999997
211276,-60.99830000,-57.51620000,2004-01-21 16:07:00,amlr2004_leg1,S2004021145219.L2_MLAC.R0000020338_60S_60S_57W_57W.hdf_OCVAL_amlr2004_leg1_211276_B5.tar,2.15000000,25,-2516,41.54,29.09,0.045,3.521,-999,rrs,-999
26060,-60.56000000,-63.82000000,2002-01-26 14:26:00,ioffe01,S2002026143940.L2_MLAC.R0000021031_60S_60S_64W_63W.hdf_OCVAL_ioffe01_26060_B5.tar,0.00000000,25,2817,43.98,23.31,0.017,3.632,0.08224400,chlor_a,0.06685296
17581,-60.48000000,-68.44900000,2002-02-09 16:11:00,amlr2002,S2002040143441.L2_MLAC.R0000020337_60S_61S_69W_68W.hdf_OCVAL_amlr2002_17581_B5.tar,0.00000000,25,-3697,49.25,36.46,0.035,8.220,0.13586300,chlor_a,0.17800000
17582,-60.36000000,-68.55000000,2002-02-09 17:11:00,amlr2002,S2002040143441.L2_MLAC.R0000020337_60S_61S_69W_68W.hdf_OCVAL_amlr2002_17582_B5.tar,0.00000000,25,-7299,49.18,37.04,0.041,8.258,0.14298000,chlor_a,0.18099999
